"","effect","cause","menas"
"392","N_sexfasciatus","A_dewindti","1st Qu.:0.0347731884440279"
"393","N_sexfasciatus","A_dewindti","Median :0.131695404485955"
"394","N_sexfasciatus","A_dewindti","Mean   :0.113263376019114"
"395","N_sexfasciatus","A_dewindti","3rd Qu.:0.195111981718946"
"396","N_sexfasciatus","A_dewindti","Max.   :0.56542638382316"
"397","N_sexfasciatus","G_pfefferi","Min.   :-0.474527508566286"
"398","N_sexfasciatus","G_pfefferi","1st Qu.:0.000638230498540879"
"399","N_sexfasciatus","G_pfefferi","Median :0.133322956711974"
"400","N_sexfasciatus","G_pfefferi","Mean   :0.0736604171868928"
"401","N_sexfasciatus","G_pfefferi","3rd Qu.:0.23633051221679"
"402","N_sexfasciatus","G_pfefferi","Max.   :0.422175702629018"
"403","N_sexfasciatus","J_ornatus","Min.   :-0.858761359054762"
"404","N_sexfasciatus","J_ornatus","1st Qu.:0.0137559746940798"
"405","N_sexfasciatus","J_ornatus","Median :0.166658229562495"
"406","N_sexfasciatus","J_ornatus","Mean   :0.112906224526071"
"407","N_sexfasciatus","J_ornatus","3rd Qu.:0.28407748874941"
"408","N_sexfasciatus","J_ornatus","Max.   :0.698113775867104"
"409","N_sexfasciatus","P_microlepis","Min.   :-1.11995371552949"
"410","N_sexfasciatus","P_microlepis","1st Qu.:-0.506667505044609"
"411","N_sexfasciatus","P_microlepis","Median :-0.36138406859223"
"412","N_sexfasciatus","P_microlepis","Mean   :-0.445025446721375"
"413","N_sexfasciatus","P_microlepis","3rd Qu.:-0.285208573830533"
"414","N_sexfasciatus","P_microlepis","Max.   :0.0768053855779201"
"415","N_sexfasciatus","S_multipunctatus","Min.   :-0.728997441474084"
"416","N_sexfasciatus","S_multipunctatus","1st Qu.:-0.289949095151577"
"417","N_sexfasciatus","S_multipunctatus","Median :-0.153741492323726"
"418","N_sexfasciatus","S_multipunctatus","Mean   :-0.210087367313496"
"419","N_sexfasciatus","S_multipunctatus","3rd Qu.:-0.0583220034874745"
"420","N_sexfasciatus","S_multipunctatus","Max.   :0.132527046430016"
"421","N_sexfasciatus","T_moorii","Min.   :0.00963022774635952"
"422","N_sexfasciatus","T_moorii","1st Qu.:0.174116846005305"
"423","N_sexfasciatus","T_moorii","Median :0.276359782905735"
